B,G,R,Gray,Xb,Xg,Xr,H,S,V,L,a,b,pH
67.46142869134559,156.5768837964129,149.39833934917039,144.2713371247097,0.4676010497707608,1.0852944660869548,1.035537219843113,32.52885503231764,147.25422507624722,156.5768837964129,159.14678992137442,112.96280673773748,172.1917233274574,3.91
62.99085398121891,152.90393030631498,143.9356311519385,139.97231815809545,0.45002365332031025,1.0923869256320637,1.0283149771754625,32.977485319289485,151.70529819451895,152.90393030631498,155.20366862652784,112.18121234019102,172.68974704287243,3.91
53.60044355750267,154.97833662038806,143.7122099141728,140.05268492606075,0.3827162869872893,1.1065716926612805,1.0261296310745065,33.3449341679594,167.5434553831043,154.97833662038806,156.4981330048877,110.22096803111918,177.43175528722102,3.91
64.44622454048684,148.839029640669,139.3974250703759,136.39521009273057,0.47249624452846983,1.0912335524061167,1.0220111466935256,33.24929210134128,145.69625765855275,148.83905861897665,151.31291604570293,112.3952972346415,170.44107882099686,4.03
59.293526199726976,145.80740925478665,131.6555750988834,131.71342817389475,0.45017070029826156,1.1070048914244666,0.9995607655512923,34.85987433931884,151.74353757569392,145.80740925478665,147.3898893905982,109.98919283139067,171.03489359095522,4.03
59.062659399424106,143.89030234471412,129.33814959550253,129.86885737693677,0.45478693346779964,1.1079661841258903,0.9959135100427203,35.07371794871795,151.18907856849032,143.89030234471412,145.48938022761553,110.05814479638009,170.18607911696145,4.03
78.9143455154339,147.68210905649389,133.6131843331392,135.63597552053,0.5818098422087828,1.0888122306027914,0.9850866174727765,36.2603814793244,119.94891161910309,147.68210905649389,149.7827824694234,111.92345661036691,162.363420937682,4.16
78.62222516971532,146.41404105321968,127.6458868403812,133.07409593286147,0.590815399635567,1.100244491813707,0.9592091228993289,38.39782716168474,118.50160571384933,146.41404105321968,147.63872845148092,109.97016869038863,161.56356335837364,4.16
76.2872066646326,144.96747940517093,126.38881777058488,131.58290848400833,0.5797653171187048,1.1017196767830169,0.9605260989191867,38.19936855789767,121.68890200708383,144.96747940517093,146.22366117029037,110.0086358993407,162.02123821020655,4.16
92.84396670335718,147.7815423775454,128.65344317556412,135.79935708929554,0.6836848766692406,1.0882344772837984,0.94737888258902,40.317191799669786,95.21751513483764,147.7815423775454,149.4195652173913,111.41997110621904,154.83574573472757,4.29
78.83215393351679,137.30382649718254,114.668135456253,123.8699842036867,0.6364104624723972,1.1084511504530894,0.9257136520474358,41.54828987026602,109.0561525357096,137.30382649718254,138.29788581662518,109.4431485606954,156.6250436814747,4.29
80.63268371178258,139.89885571249775,116.2724924012158,126.0782294743429,0.6395448607421271,1.1096194505250994,0.9222249779838272,41.965282495977114,108.90052744502056,139.89885571249775,140.71228768102986,109.03420793849455,156.83776148757374,4.29
92.87228988019217,143.66007191510064,119.81277747369701,130.73992372514138,0.7103590642705321,1.0988232807686327,0.9164207386688029,44.02040762026394,90.62594265036793,143.66007191510064,144.5810033144803,110.14128732591377,152.32144377546675,4.37
94.26870392952696,143.78969477458458,120.10709280527091,131.06320382942323,0.7192614034692472,1.0971019368771473,0.9164058965137802,44.402762863331084,88.5638134066214,143.78969477458458,144.80910034035273,110.396181497188,151.71438035782538,4.37
83.09338731886433,134.92709767665508,108.88581623062969,121.23171154350533,0.6854096693095466,1.1129686775743903,0.8981628226172063,45.0354949402225,98.44908530588158,134.92709767665508,135.54583852424977,108.96175660612418,152.89462439621445,4.37
