B,G,R,Gray,Xb,Xg,Xr,H,S,V,L,a,b,pH
11.939877363169092,176.82137013983194,176.33129093108516,157.87834627987706,0.07562707391172446,1.1199849397103123,1.1168807824886628,30.08423750573557,237.9131160229701,178.22430582270033,178.5393378723483,111.61347614699734,198.26370626486033,5.50
10.568626770685672,182.12291953726742,178.98642433013808,161.62791809494541,0.06538862156522564,1.1268035973233448,1.1073979448587323,30.512430733849463,240.26510968586126,182.51760029342083,182.87927616253134,110.02168935060816,199.72058604863253,5.55
12.85781577472972,175.88053785976635,177.35446452657135,157.73665161544687,0.0815144460279045,1.1150264447641076,1.1243706691514639,29.729902886431077,236.61612645514722,178.18042269303396,178.0747286837791,112.50531738291382,198.05324645680727,5.60
18.643586333172113,182.52908864782697,180.12382539901884,163.12696767256267,0.11428880582513208,1.1189387705300162,1.1041940395813228,30.43637290126442,229.18990102259377,183.2090401091688,183.40289245491604,110.47468130311614,198.57569266910798,5.65
11.2666700644534,177.99189235811627,176.5970917559239,158.56817163658317,0.07105253184274007,1.122494448419634,1.1136982279184033,30.226708171938462,238.98646635407027,179.07899070051906,179.45612542537677,111.11763137673091,198.6353639029592,5.70
6.00098164019077,178.20865008785455,175.35119410478,157.72259654588157,0.03804769748667612,1.129886610990541,1.111769638244386,30.498350485889485,246.40893158102344,178.8905941836698,179.32209900670563,110.35223849822498,199.27012586509844,5.75
4.543793778002145,179.5315832649713,174.34272823157153,158.0315076084703,0.02875245479059521,1.1360492979018357,1.1032149909213862,30.80277474781166,248.53695607100036,179.7754509641302,180.03982276951922,109.15602322206095,199.57192889145307,5.80
9.678935582141344,180.98371900659714,177.2075614824379,160.32590259648555,0.0603703794919631,1.1288489013662626,1.1052958917589304,30.615639437529,241.43022978998124,181.38484879052595,181.67218108822402,109.85115096737749,199.5013738979563,5.85
7.100994548335407,178.57287684967193,175.10005013024914,157.98670707821213,0.04494678495210375,1.1303031764645142,1.1083214111397675,30.61003142092401,244.88260122282003,178.91529778263165,179.49468708877532,110.09273200905926,199.1392233392117,5.90
6.836264611153331,180.4041689284551,175.8394745413093,159.2525842145261,0.042927181652162895,1.1328178429144742,1.104154607026278,30.728031701226794,245.36821553939131,181.26573661925957,180.95193790033656,109.4917309014584,199.6310172619694,5.95
6.168774068216201,181.2135753335167,176.07651973593727,159.72248836559618,0.03862182546327608,1.1345526681172697,1.1023902866633757,30.77518137120066,246.32788646678586,181.5820640214551,181.56846118140558,109.2080826227479,199.89700522624122,6.00
6.894587802523992,176.32568335366852,169.905318412762,155.090849343507,0.04445515536028393,1.1369186776656888,1.0955212324386903,31.05320233824413,245.07702183453824,176.5185884945277,176.79575419299618,108.89174239251179,198.1538934314279,6.05
12.426120730843369,178.78809908232697,171.5207423760647,157.6498938950854,0.07882099013090894,1.1340832186116716,1.0879851431438972,31.29620903833797,237.43051963029473,178.91796134899582,178.95362620887357,108.5257096726362,197.94647593785524,6.10
12.678072908127014,172.43186861234082,166.62911952779143,152.48491392578018,0.08314312925603828,1.1308126435135055,1.092758065292254,30.994851615018852,236.34366289555663,172.6873148603596,173.34665245668688,109.60947696343662,196.085112313494,6.15
6.564237950499349,178.4642987407729,169.48885222173976,156.18403330149079,0.0420288669189893,1.1426539254257397,1.0851868058405556,31.608128528006947,245.7115414676509,178.6217860761326,178.27060356057316,107.72961065277175,198.5824634534665,6.20
5.140866873065015,171.02523134759974,162.76714693974753,149.64524655955498,0.034353693092543915,1.1428711254088253,1.087686716964781,31.456048208757185,247.47394787874663,171.15068213520223,171.51404245908887,108.48499642772087,196.5575562208689,6.25
6.054929193899782,170.94883805374002,163.08190359477123,149.79871904048656,0.04042043371721555,1.1411902528187652,1.088673552346563,31.417097857661584,246.08316539578794,171.13325163398693,171.49705428467684,108.64757171387073,196.5066085693537,6.30
3.5805815490351574,171.48298176050753,160.99194290245836,149.20528751784298,0.023997685394406464,1.1493090131943242,1.0789962311704662,31.840830029077452,249.79924398625428,171.52167063177373,171.46888183980968,107.45532117367169,196.7209463388845,6.35
8.38503707660803,172.1409631862564,156.67819454513847,148.8494197860622,0.05633234639852576,1.156477219956051,1.0525952655396869,32.78969571318943,242.6806578395085,172.22089942042624,171.16987827679625,105.3083739289333,195.82039573820393,6.40
4.735841724077018,172.65711005122768,158.69688217629394,149.33997732732732,0.03171181493952469,1.1561345671882168,1.0626550573826452,32.458412824589296,248.1269607843137,172.71543013601837,171.8761967850203,105.86348701642818,196.57727433315668,6.45
17.341737993636073,174.80294516662144,160.0810932142769,152.4505338151501,0.11375321266282573,1.1466207483312205,1.050052690588667,32.83813423447868,229.78977824917985,174.807547914457,173.82120322636345,105.64498655681903,195.120001973311,6.50
21.241980659950922,168.21883071806792,149.94208075035516,145.99872157109647,0.1454942922195849,1.1521938610685094,1.0270095459523487,33.834156657626245,222.86255730982822,168.2677458672349,167.07893016272763,104.6597087692109,191.85191463257135,6.55
22.978358467672038,170.59341306985613,151.47780377881782,148.04972966718668,0.1552070275260009,1.152271020375027,1.0231548826150334,33.982384295371816,220.73095857167618,170.5993283064656,169.10421216848673,104.16522794245103,192.27597937250823,6.60
20.372695689166193,171.45395317325267,151.950770467007,148.39923819089935,0.13728302070499143,1.155356019770775,1.0239322810507894,33.95366956576542,224.79247022121385,171.45395317325267,169.81063291737567,103.87349530472049,193.07373006869602,6.65
20.192253436514047,164.8788086454639,143.56131880259346,142.01061188862533,0.1421883418990563,1.1610316049815588,1.0109196551817148,34.52316893542602,223.82967172335228,164.90147695566463,163.40260058117028,103.56373960368283,190.51674758253642,6.70
