B,G,R,Gray,Xb,Xg,Xr,H,S,V,L,a,b,pH
17.864223994682618,149.48461282818212,137.87594438905506,131.00889663786418,0.136358861521161,1.1410264238877506,1.0524166520551106,32.72612717403346,225.4803533842916,149.48461836712087,150.65321812340756,108.7182895757173,186.93595879029579,3.80
19.751836057806205,148.2018425190067,135.68069824039972,129.81471964312635,0.1521540555039211,1.1416412786348757,1.0451873147621435,33.043790786328096,221.77427257651138,148.20185328767417,149.2667183562706,108.48169326527535,186.04709676724602,3.86
22.368267641879996,145.46043613707164,131.74215901395098,127.32616406880672,0.17567691452474957,1.142423768130368,1.0346825413098746,33.43298388189083,216.86711093051605,145.46043613707164,146.4890153054314,108.21967221996478,184.21677908709196,3.90
31.974564485981308,140.1025445482866,123.02458317757008,122.66964437133954,0.2606558831228814,1.1421125843014188,1.0028934526389925,34.80336947040498,197.4320996884735,140.1025445482866,140.76043862928347,107.48217320872273,179.28345919003115,3.95
30.547279549718574,131.86974671669793,111.84587242026267,114.33184704502813,0.2671808454007388,1.1533947025692914,0.9782564990506417,35.96419860627178,196.31842669525597,131.86974671669793,132.19995979630127,106.6663160010721,176.47247386759582,4.00
41.86511383076721,137.37317044640378,118.1232106563729,120.72951401500198,0.3467678485441845,1.1378590526698686,0.978412044644649,36.00786653214604,178.06040999546724,137.37317044640378,137.88287932622714,107.30956558611513,174.3647629074001,4.05
46.80202367315769,135.22336153912477,113.53392085134685,118.65818625675891,0.3944272632979993,1.1396041504167378,0.9568149019712479,37.54956336449519,167.15974454667503,135.22336153912477,135.50208772124302,106.79321090295483,171.30972791880671,4.10
54.8525801241702,137.44889186384265,115.19531321964371,121.3790923109045,0.4519112730194831,1.132393472771871,0.9490540011996346,38.12218053192992,154.75449057669752,137.44889186384265,137.71193986772374,107.03992851923041,168.48356372166717,4.15
61.78490663900415,136.37484439834026,113.00247233748271,120.88325224757953,0.5111122135634076,1.1281533368992471,0.9348066852639249,39.49600622406639,140.28636756569847,136.37484439834026,136.65015560165975,107.31934647302904,164.7490836791148,4.20
60.90344925077749,133.240641786825,106.90772547356516,117.12065986005089,0.5200060290264064,1.1376356822616616,0.9127998903123556,40.90274243709358,139.25661577608142,133.240641786825,133.11967769296012,106.21886485722364,163.50542126095561,4.25
59.49918269765374,130.5630768375403,103.70002223951963,114.42973958078505,0.519962580668538,1.1409890236214812,0.9062331402607933,41.415222951184255,140.7450906260425,130.5630768375403,130.26513955298566,106.09558545535417,162.87548648949183,4.30
63.07325570098128,129.5511989525647,99.48998135528136,112.98440936029647,0.5582474259775674,1.1466289878937042,0.8805638044981704,43.70825873132637,131.61953670418742,129.5511989525647,128.9673416702522,105.46947216477676,160.30824855306807,4.35
63.53825785448302,120.1624634869668,90.53748857225679,104.84943654536536,0.6059952246571381,1.1460477752303029,0.8635000010999945,45.785821794099945,121.22710549200616,120.1624634869668,119.9580183735813,106.65031105759583,155.59982273061743,4.40
63.34361654175547,115.02906190552588,82.80400785374313,99.501629972573,0.6366088330333457,1.1560520359036623,0.8321874513670533,48.741926611812694,115.86425553696529,115.02906190552588,114.40935726127447,106.17236215840418,152.93661234748993,4.45
72.20394584139265,120.69227852998067,85.83813539651838,104.74321980657642,0.6893424316602805,1.1522681730889741,0.8195101845735788,51.61119535783366,103.10893617021277,120.69227852998067,119.97581431334623,105.746251450677,150.71946615087043,4.50
79.89750689200527,127.11444324583483,89.24542131127892,110.40887494306605,0.7236511279841008,1.1513063901011875,0.8083174596000514,54.03422030444684,95.49120220544168,127.11444324583483,126.02828119381518,104.97422390027567,149.5581445523193,4.55
69.61575969419107,116.55866791160909,74.23730517848165,98.55308891761833,0.7063782623027036,1.182699286158771,0.7532722311782382,56.94886159592042,103.86180341082301,116.55866791160909,114.69405539993775,103.16270439799851,149.40007341968126,4.60
79.11186725706543,122.2741361788618,76.46146075300038,103.65564756944445,0.7632181083434375,1.1796186608833235,0.7376487682619971,61.714031649245065,98.01807491289199,122.2741361788618,120.10065814943864,102.76523785327139,146.84731295973674,4.66
75.06047647699272,118.32094149332417,72.21166408801788,99.60257453727581,0.7535997621115875,1.187930553432061,0.7249979674068866,61.75451263537906,102.30086384734399,118.32094149332417,115.96965789926078,102.52739098045957,146.99795856970948,4.70
68.23117567637742,98.30076725346626,56.35067767565041,82.32975702991119,0.8287547314343267,1.1939883075053004,0.684450916758781,68.42333956483357,110.68114192241782,98.30076725346626,96.68933374876667,106.01250843848989,140.66549826037286,4.75
74.9556041644437,103.81234089904424,58.0430468118836,86.83765397923874,0.8631693825165312,1.1954761113636698,0.6684087392061583,71.08942426413427,114.19992225965275,103.81234089904424,102.00238556163589,105.16121213968873,139.4964711979635,4.80
77.90233104537946,101.42949921511895,54.37418305682949,84.6778625124401,0.9199846185764875,1.1978278171608059,0.6421298488591553,74.85454051114736,119.3213497901854,101.42949921511895,99.7114407953461,105.95513866231647,136.45708291011317,4.85
82.80472449418855,103.09464533409863,52.782142344669246,85.73815596450949,0.9657861609300857,1.202436000335413,0.6156202189200095,77.82015592863634,125.64854474577892,103.09464533409863,101.22416535131774,105.79534964366002,134.31008753049218,4.90
90.75610983981694,109.15496567505721,53.458404707420726,90.40422438051651,1.0038923563772786,1.2074100123420977,0.5913264017664845,79.76870219025825,131.68523046747305,109.15496567505721,106.95742399476954,104.84619156587121,132.7293886891141,4.95
88.44381667158578,103.45215984315048,45.50596618459333,84.41529681768351,1.0477226285492176,1.225514376459304,0.5390725129223337,82.05623076274402,143.78923346123034,103.45215984315048,101.11665155795421,105.03459016739048,130.78434772526037,5.00
